,YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
"13876BIRMINGHAM,AL",198401-201512,6.9,7.4,7.6,7.3,6.2,5.4,5.2,4.9,5.4,5.5,6.1,6.5,6.2
"03856HUNTSVILLE,AL",198401-201512,8.3,8.7,9,8.5,7.5,6.1,5.3,5.1,6.1,6.5,7.4,8,7.2
"13894MOBILE,AL",198401-201512,8.6,9,9,8.6,7.6,6.4,5.8,5.7,6.7,7.1,7.8,8.2,7.5
"13895MONTGOMERY,AL",198401-201512,7,7.3,7.3,6.5,5.5,5,4.9,4.6,5.4,5.3,5.9,6.5,5.9
"26451ANCHORAGE,AK",198401-201512,6.4,6.5,7.1,7.1,8.2,8.1,7.2,6.7,6.8,6.5,6.6,6.3,7
"25308ANNETTE,AK",198401-201512,9,8.6,8.8,8.3,7.5,7.2,6.5,6.5,7.1,8.4,8.9,9.1,8
"27502BARROW,AK",198401-201512,12.7,12.8,11.6,11.7,12.4,11.9,12.2,12.4,13.1,13.9,13.2,12.9,12.6
"26615BETHEL,AK",198401-201512,14,13.7,12.8,11.6,10.7,9.8,9.7,10.4,10.5,11.5,12.3,12.9,11.7
"26533BETTLES,AK",198401-201512,4.7,5.1,5.9,6.5,6.4,5.9,5.5,5.1,5.4,5.4,4.8,4.8,5.5
"26415BIG DELTA,AK",198401-201512,12.1,11.1,9.7,8.6,8.5,7.6,6.8,7,8.5,8.9,10.2,12.4,9.3
"25624COLD BAY,AK",198401-201512,16.6,17.3,16.5,16.2,15.7,15.1,14.6,15.1,15.8,16.1,17.3,17.3,16.1
"26411FAIRBANKS,AK",198401-201512,2.5,3,4.7,5.7,6.4,5.9,5.4,5.2,4.9,4.1,2.8,2.3,4.4
"26425GULKANA,AK",198401-201512,3.1,4,5.6,6.9,7.8,7.5,7.1,6.9,7,4.9,3.4,3.2,5.6
"25507HOMER,AK",198401-201511,7.1,7,7.4,7.6,7.5,7.3,6.6,6.3,6.7,6.7,7.1,7.3,7
"25309JUNEAU,AK",198401-201512,7.3,7.4,7.7,7.7,7.4,6.8,6.6,6.9,7.9,8.4,7.7,7.7,7.5
"25503KING SALMON,AK",198401-201512,10,10.6,10.3,10.3,9.9,9.3,8.8,8.9,9.6,9.4,9.6,9.7,9.7
"25501KODIAK,AK",198401-201512,12.1,12.1,12.5,11.7,10.4,9.4,8,8.6,9.8,11,12.2,12.5,10.9
"26616KOTZEBUE,AK",198401-201512,11.8,12.5,10.5,10.7,10.3,10.7,11.5,12.1,12.3,12.8,13.2,12.6,11.7
"26510MCGRATH,AK",198401-201512,2.8,3.6,4.9,5.7,6,5.4,4.9,4.9,5,4.6,3.4,2.5,4.5
"26617NOME,AK",198401-201512,9.2,10.1,8.7,8.7,8.8,8.8,9,9.6,9.9,9.2,10.2,10,9.4
"25713ST. PAUL ISLAND,AK",198401-201512,18.7,18.4,16.9,16,13.9,12.4,11.2,12.3,14.6,16.2,17.8,17.8,15.5
"26528TALKEETNA,AK",198401-201512,5.3,5.1,5.2,4.5,4.7,4.7,4.2,3.4,3.5,3.7,4.8,4.9,4.5
"26442VALDEZ,AK",198401-201402,6.9,6.8,6.8,5.1,5.6,5.9,4.8,4.2,4.4,6.1,7.7,6.8,5.9
